True Label,Predicted Label,Probability
2,2,0.48379005857156937
2,2,0.5669445553653318
2,2,0.5634584741320313
1,2,0.4818661255145379
1,2,0.5669445553653318
4,4,0.3303581950959369
2,2,0.5882105785348342
2,2,0.5506819910046444
4,1,0.31783892701438426
1,2,0.5335167583033611
3,2,0.41183854050034524
3,2,0.5335167583033611
3,2,0.4197546481548749
4,4,0.557022763683152
2,2,0.4431071186141557
3,2,0.5588945303642912
2,2,0.49281917348737364
2,2,0.45675619080948276
4,4,0.3303581950959369
2,2,0.5669445553653318
2,2,0.3497965071160121
1,2,0.5634584741320313
2,2,0.41183854050034524
3,2,0.4431071186141557
2,4,0.658783903929345
3,2,0.49281917348737364
3,2,0.4832450397807762
3,2,0.5669445553653318
3,1,0.31783892701438426
2,2,0.3934226561624682
1,2,0.3335389332246378
2,2,0.3578571275689279
2,2,0.5300289961700406
4,4,0.557022763683152
2,2,0.4667523669105629
1,2,0.406272439273452
0,2,0.3335389332246378
1,2,0.2799800968129367
0,2,0.5634584741320313
4,2,0.35714517312040744
2,2,0.41183854050034524
2,2,0.5882105785348342
3,2,0.4519305989730279
3,3,0.4570839008941505
4,2,0.3335389332246378
1,2,0.3335389332246378
3,2,0.5882105785348342
4,3,0.36883638144751846
1,4,0.4538569368423038
2,2,0.4256365048541289
3,2,0.49708504705895873
3,2,0.5235523997532585
1,2,0.41666141738547097
4,4,0.4538569368423038
4,2,0.35714517312040744
2,2,0.4431071186141557
0,2,0.5588945303642912
4,4,0.36084264672624117
3,4,0.3303581950959369
2,2,0.5235523997532585
3,2,0.5882105785348342
2,2,0.4667523669105629
1,2,0.3578571275689279
2,2,0.3578571275689279
4,2,0.41183854050034524
0,2,0.5335167583033611
2,2,0.5259190325639371
0,2,0.4818661255145379
3,2,0.4832450397807762
2,4,0.5271109431019655
0,2,0.41455313926454684
2,2,0.4285143886749762
0,2,0.3934226561624682
2,2,0.5669445553653318
3,2,0.3578571275689279
4,1,0.29238552930325445
0,2,0.3934226561624682
