JobSatisfaction,Workload_Binned,SleepHours_Binned,Age_Binned,Stress_Binned,Experience_Binned,JobLevel,Gender,MaritalStatus,Dept,EmpType,haveOT_Binned
Very Satisfied,2,7,30-39,1,6-10,Mid,Male,Married,IT,Full-Time,Yes
Very Satisfied,2,7,30-39,2,11-15,Mid,Female,Married,Finance,Full-Time,No
Very Satisfied,5,6,20-29,4,1-5,Intern/Fresher,Female,Single,Marketing,Full-Time,Yes
Very Satisfied,3,7,20-29,1,6-10,Junior,Female,Married,IT,Contract,Yes
Very Satisfied,2,4,20-29,1,1-5,Junior,Other,Single,Sales,Part-Time,No
Very Satisfied,4,6,30-39,2,11-15,Mid,Female,Married,Operations,Part-Time,No
Very Satisfied,1,5,20-29,1,1-5,Junior,Female,Single,Sales,Full-Time,Yes
Very Satisfied,4,5,20-29,2,1-5,Junior,Male,Single,IT,Full-Time,Yes
Very Satisfied,1,8,20-29,1,6-10,Junior,Female,Married,Marketing,Full-Time,No
Very Satisfied,4,8,20-29,2,1-5,Mid,Female,Single,Marketing,Part-Time,No
Very Satisfied,2,6,40-49,1,11-15,Mid,Male,Single,Customer Service,Full-Time,No
Very Satisfied,2,6,30-39,1,6-10,Senior,Male,Single,Legal,Full-Time,No
Very Satisfied,1,6,20-29,1,6-10,Junior,Female,Single,Legal,Full-Time,No
Very Satisfied,1,6,30-39,1,11-15,Senior,Female,Married,Finance,Full-Time,No
Very Satisfied,2,8,20-29,2,6-10,Mid,Female,Single,Finance,Part-Time,No
Very Satisfied,1,8,20-29,3,6-10,Senior,Male,Married,Sales,Full-Time,No
Very Satisfied,2,7,20-29,3,1-5,Mid,Female,Single,Sales,Part-Time,No
Very Satisfied,1,5,30-39,1,6-10,Mid,Male,Married,Finance,Part-Time,No
Very Satisfied,2,6,40-49,1,6-10,Mid,Female,Single,Operations,Full-Time,No
Very Satisfied,1,8,20-29,1,6-10,Junior,Male,Single,Operations,Full-Time,No
Very Satisfied,1,7,20-29,1,1-5,Junior,Male,Single,Operations,Full-Time,No
Very Satisfied,1,6,30-39,1,6-10,Mid,Male,Married,Operations,Full-Time,No
Very Satisfied,4,8,20-29,1,1-5,Junior,Female,Single,Finance,Full-Time,No
Very Satisfied,1,6,30-39,1,6-10,Mid,Male,Married,IT,Full-Time,No
Very Satisfied,4,7,40-49,1,21-25,Mid,Female,Married,Legal,Full-Time,No
Very Satisfied,2,6,40-49,2,16-20,Mid,Female,Divorced,Finance,Full-Time,No
Very Satisfied,1,6,30-39,1,6-10,Senior,Female,Single,Marketing,Part-Time,No
Very Satisfied,4,8,20-29,1,6-10,Junior,Female,Married,Legal,Part-Time,No
Very Satisfied,2,9,20-29,1,1-5,Junior,Female,Married,Finance,Full-Time,No
Very Satisfied,1,5,50-59,1,11-15,Senior,Male,Married,Finance,Full-Time,No
Very Satisfied,2,7,40-49,2,26-30,Senior,Female,Divorced,Marketing,Part-Time,No
Very Satisfied,2,7,20-29,1,1-5,Intern/Fresher,Male,Single,Operations,Full-Time,No
Very Satisfied,1,7,30-39,1,1-5,Senior,Male,Married,IT,Full-Time,Yes
Very Satisfied,2,9,20-29,2,1-5,Intern/Fresher,Male,Single,Legal,Part-Time,No
Very Satisfied,3,7,20-29,1,1-5,Junior,Male,Single,Finance,Full-Time,No
Very Satisfied,1,8,20-29,3,1-5,Junior,Male,Single,Finance,Part-Time,No
Very Satisfied,2,7,20-29,1,1-5,Junior,Male,Single,IT,Part-Time,Yes
Very Satisfied,3,7,30-39,1,1-5,Senior,Female,Single,Marketing,Part-Time,No
Very Satisfied,1,7,30-39,1,6-10,Senior,Female,Single,Finance,Full-Time,No
Very Satisfied,1,7,20-29,1,1-5,Mid,Male,Single,IT,Part-Time,No
Very Satisfied,2,7,20-29,1,1-5,Junior,Female,Single,Operations,Full-Time,No
Very Satisfied,1,6,30-39,1,11-15,Senior,Male,Married,HR,Full-Time,No
Very Satisfied,1,9,30-39,2,6-10,Mid,Male,Married,Operations,Full-Time,No
Very Satisfied,2,7,30-39,1,1-5,Mid,Male,Married,Finance,Part-Time,No
Very Satisfied,2,6,30-39,1,6-10,Senior,Female,Married,Sales,Contract,No
Very Satisfied,1,9,20-29,1,6-10,Junior,Male,Single,IT,Full-Time,No
Very Satisfied,3,7,20-29,1,6-10,Junior,Male,Single,Legal,Contract,No
Very Satisfied,1,8,30-39,1,6-10,Senior,Female,Married,Operations,Full-Time,No
Very Satisfied,1,8,20-29,1,1-5,Intern/Fresher,Female,Single,Finance,Full-Time,No
Very Satisfied,2,7,40-49,2,6-10,Mid,Female,Married,HR,Full-Time,No
Very Satisfied,2,6,20-29,1,6-10,Mid,Female,Single,Marketing,Part-Time,No
Very Satisfied,3,7,40-49,2,1-5,Mid,Female,Married,Finance,Full-Time,No
Very Satisfied,2,7,20-29,1,1-5,Junior,Male,Single,Marketing,Full-Time,No
Very Satisfied,1,7,20-29,1,1-5,Intern/Fresher,Female,Single,Operations,Full-Time,No
