EmpID,Gender,Age,MaritalStatus,JobLevel,Experience,Dept,EmpType,WLB,WorkEnv,PhysicalActivityHours,Workload,Stress,SleepHours,CommuteMode,CommuteDistance,NumCompanies,TeamSize,NumReports,EduLevel,haveOT,TrainingHoursPerYear,JobSatisfaction
6.0,Male,32.0,Married,Mid,7.0,IT,Full-Time,1.0,1.0,2.5,2.0,1.0,7.6,Car,20.0,3.0,12.0,0.0,Bachelor,True,33.5,5.0
11.0,Female,34.0,Married,Mid,12.0,Finance,Full-Time,,1.0,1.8,2.0,2.0,7.9,Car,15.0,4.0,11.0,0.0,Bachelor,False,36.0,5.0
33.0,Female,23.0,Single,Intern/Fresher,1.0,Marketing,Full-Time,2.0,4.0,2.1,5.0,4.0,6.5,Motorbike,17.0,0.0,30.0,0.0,Bachelor,True,10.5,5.0
20.0,Female,29.0,Married,Junior,6.0,IT,Contract,2.0,2.0,1.9,3.0,1.0,7.5,Public Transport,13.0,2.0,9.0,0.0,Bachelor,True,23.0,5.0
28.0,Other,23.0,Single,Junior,1.0,Sales,Part-Time,3.0,1.0,3.7,2.0,1.0,4.9,Car,20.0,0.0,7.0,0.0,Bachelor,False,20.5,5.0
45.0,Female,33.0,Married,Mid,10.0,Operations,Part-Time,2.0,3.0,1.4,4.0,2.0,6.2,Car,8.0,3.0,13.0,0.0,Bachelor,False,35.0,5.0
21.0,Female,26.0,Single,Junior,4.0,Sales,Full-Time,2.0,2.0,1.8,1.0,1.0,5.8,Car,29.0,1.0,8.0,0.0,Bachelor,True,22.0,5.0
44.0,Male,24.0,Single,Junior,2.0,IT,Full-Time,1.0,3.0,1.8,4.0,2.0,5.7,Car,29.0,0.0,10.0,0.0,Bachelor,True,21.0,
7.0,Female,29.0,Married,Junior,7.0,Marketing,Full-Time,4.0,3.0,1.6,1.0,1.0,8.2,Car,13.0,2.0,8.0,0.0,Bachelor,False,23.5,5.0
15.0,Female,24.0,Single,Mid,2.0,Marketing,Part-Time,5.0,5.0,0.5,4.0,2.0,8.5,Bike,9.0,0.0,10.0,0.0,Bachelor,False,31.0,5.0
18.0,Male,40.0,Single,Mid,14.0,Customer Service,Full-Time,5.0,5.0,0.8,2.0,1.0,6.3,Car,8.0,6.0,11.0,0.0,Bachelor,False,37.0,5.0
32.0,Male,30.0,Single,Senior,8.0,Legal,Full-Time,5.0,5.0,2.5,2.0,1.0,6.3,Public Transport,19.0,2.0,18.0,2.0,Bachelor,False,44.0,5.0
59.0,Female,29.0,Single,Junior,7.0,Legal,Full-Time,5.0,3.0,2.1,1.0,1.0,6.2,Public Transport,20.0,,7.0,0.0,Bachelor,False,23.5,5.0
108.0,Female,35.0,Married,Senior,12.0,Finance,Full-Time,5.0,3.0,2.0,1.0,1.0,6.8,Public Transport,11.0,4.0,21.0,2.0,Bachelor,False,46.0,5.0
147.0,Female,29.0,Single,Mid,7.0,Finance,Part-Time,4.0,5.0,2.7,2.0,2.0,8.1,Public Transport,25.0,2.0,14.0,0.0,Bachelor,False,33.5,5.0
151.0,Male,28.0,Married,Senior,6.0,Sales,Full-Time,,,1.8,1.0,3.0,8.3,Bike,3.0,2.0,16.0,7.0,Bachelor,False,43.0,5.0
173.0,Female,26.0,Single,Mid,4.0,Sales,Part-Time,5.0,5.0,2.3,2.0,3.0,7.8,Walk,2.0,1.0,15.0,0.0,Bachelor,False,32.0,5.0
185.0,Male,30.0,Married,Mid,8.0,Finance,Part-Time,5.0,4.0,2.2,1.0,1.0,5.9,Walk,2.0,2.0,12.0,0.0,Bachelor,False,34.0,5.0
218.0,Female,45.0,Single,Mid,9.0,Operations,Full-Time,5.0,5.0,2.1,2.0,1.0,6.8,Car,8.0,7.0,12.0,0.0,Bachelor,False,34.5,5.0
323.0,Male,28.0,Single,Junior,6.0,Operations,Full-Time,5.0,5.0,2.2,1.0,1.0,8.0,Bike,4.0,2.0,7.0,0.0,Bachelor,False,23.0,5.0
338.0,Male,27.0,Single,Junior,2.0,Operations,Full-Time,4.0,4.0,2.3,1.0,1.0,7.8,Public Transport,20.0,1.0,7.0,0.0,Bachelor,False,21.0,5.0
367.0,Male,49.0,Married,Mid,3.0,Finance,Full-Time,4.0,4.0,2.6,2.0,1.0,10.0,Bike,2.0,9.0,12.0,0.0,Bachelor,False,31.5,5.0
387.0,Male,30.0,Married,Mid,8.0,Operations,Full-Time,4.0,5.0,0.2,1.0,1.0,6.3,Car,11.0,2.0,12.0,0.0,Bachelor,False,34.0,5.0
398.0,Female,24.0,Single,Junior,1.0,Finance,Full-Time,5.0,5.0,0.0,4.0,1.0,8.9,Walk,2.0,0.0,9.0,0.0,Bachelor,False,20.5,5.0
406.0,Male,31.0,Married,Mid,9.0,IT,Full-Time,5.0,4.0,2.5,1.0,1.0,6.2,Public Transport,16.0,3.0,13.0,0.0,Bachelor,False,34.5,5.0
427.0,Female,45.0,Married,Mid,23.0,Legal,Full-Time,5.0,5.0,1.2,4.0,1.0,7.2,Car,29.0,7.0,13.0,0.0,Bachelor,False,41.5,5.0
474.0,Female,49.0,Divorced,Mid,18.0,Finance,Full-Time,5.0,5.0,2.3,2.0,2.0,6.5,Bike,7.0,9.0,,0.0,Bachelor,False,39.0,5.0
548.0,Female,31.0,Single,Senior,9.0,Marketing,Part-Time,5.0,3.0,0.4,1.0,1.0,6.8,Public Transport,17.0,3.0,24.0,6.0,Bachelor,False,44.5,5.0
551.0,Female,27.0,Married,Junior,5.0,Legal,Part-Time,5.0,4.0,2.0,4.0,1.0,8.7,Walk,2.0,1.0,10.0,0.0,Bachelor,False,22.5,5.0
568.0,Female,24.0,Married,Junior,2.0,Finance,Full-Time,5.0,,3.2,2.0,1.0,9.0,Car,24.0,0.0,8.0,0.0,Bachelor,False,21.0,5.0
603.0,Male,56.0,Married,Senior,14.0,Finance,Full-Time,5.0,4.0,2.1,1.0,1.0,5.4,Car,10.0,11.0,18.0,1.0,Bachelor,False,47.0,5.0
638.0,Female,48.0,Divorced,Senior,26.0,Marketing,Part-Time,4.0,5.0,2.1,2.0,2.0,7.2,Car,27.0,8.0,24.0,7.0,Bachelor,False,53.0,5.0
659.0,Male,22.0,Single,Intern/Fresher,0.0,Operations,Full-Time,5.0,3.0,1.5,2.0,1.0,7.8,Walk,1.0,0.0,26.0,0.0,Bachelor,False,10.0,5.0
739.0,Male,35.0,Married,Senior,4.0,IT,Full-Time,5.0,4.0,2.7,1.0,1.0,7.9,Car,21.0,4.0,24.0,1.0,Bachelor,True,42.0,5.0
810.0,Male,22.0,Single,Intern/Fresher,0.0,Legal,Part-Time,5.0,4.0,2.1,2.0,2.0,,Bike,7.0,0.0,23.0,0.0,Bachelor,False,10.0,5.0
905.0,Male,25.0,Single,Junior,3.0,Finance,Full-Time,5.0,5.0,0.9,3.0,1.0,7.4,Walk,1.0,1.0,8.0,0.0,Bachelor,False,21.5,5.0
920.0,Male,24.0,Single,Junior,2.0,Finance,Part-Time,5.0,5.0,4.6,1.0,3.0,8.0,Public Transport,6.0,0.0,5.0,0.0,Bachelor,False,21.0,5.0
932.0,Male,26.0,Single,Junior,4.0,IT,Part-Time,5.0,5.0,1.6,2.0,1.0,7.3,,1.0,1.0,9.0,0.0,Bachelor,True,22.0,5.0
937.0,Female,31.0,Single,Senior,2.0,Marketing,Part-Time,5.0,4.0,2.6,3.0,1.0,7.1,Public Transport,18.0,3.0,19.0,7.0,Bachelor,False,41.0,5.0
972.0,Female,30.0,Single,Senior,5.0,Finance,Full-Time,4.0,4.0,2.5,1.0,1.0,7.3,Car,23.0,2.0,23.0,4.0,Bachelor,False,42.5,5.0
1035.0,Male,29.0,Single,Mid,3.0,IT,,5.0,5.0,2.4,1.0,1.0,7.1,Car,10.0,2.0,12.0,0.0,Bachelor,False,31.5,5.0
1081.0,Female,23.0,Single,Junior,1.0,Operations,Full-Time,4.0,5.0,2.6,2.0,1.0,7.8,Motorbike,23.0,0.0,9.0,0.0,Bachelor,False,20.5,5.0
1091.0,Male,37.0,Married,Senior,11.0,HR,Full-Time,4.0,5.0,4.1,1.0,1.0,6.9,Public Transport,5.0,5.0,23.0,4.0,Bachelor,False,45.5,5.0
1122.0,Male,30.0,Married,Mid,8.0,Operations,Full-Time,5.0,1.0,2.0,1.0,2.0,9.7,Car,10.0,2.0,10.0,0.0,Bachelor,False,34.0,5.0
1179.0,Male,34.0,Married,Mid,2.0,Finance,Part-Time,4.0,4.0,3.2,2.0,1.0,7.6,Motorbike,24.0,4.0,15.0,0.0,Bachelor,False,31.0,5.0
1200.0,Female,32.0,Married,Senior,8.0,Sales,Contract,4.0,5.0,3.5,2.0,1.0,6.5,Public Transport,9.0,3.0,17.0,2.0,Bachelor,False,44.0,5.0
1251.0,Male,27.0,Single,Junior,5.0,IT,Full-Time,5.0,5.0,2.3,1.0,1.0,9.4,Public Transport,26.0,1.0,7.0,0.0,Bachelor,False,22.5,5.0
1277.0,Male,29.0,Single,Junior,7.0,Legal,Contract,5.0,4.0,1.7,3.0,1.0,7.4,Public Transport,13.0,2.0,6.0,0.0,Bachelor,False,23.5,5.0
1284.0,Female,38.0,Married,Senior,8.0,Operations,Full-Time,5.0,5.0,2.6,1.0,1.0,8.5,Bike,7.0,5.0,19.0,4.0,Bachelor,False,44.0,5.0
1317.0,Female,23.0,Single,Intern/Fresher,1.0,Finance,Full-Time,3.0,3.0,2.7,1.0,1.0,8.8,Public Transport,12.0,0.0,25.0,0.0,Bachelor,False,10.5,5.0
1328.0,Female,43.0,Married,Mid,6.0,HR,Full-Time,5.0,4.0,2.5,2.0,2.0,7.3,,1.0,7.0,11.0,0.0,Bachelor,False,33.0,5.0
1332.0,Female,27.0,Single,Mid,5.0,Marketing,Part-Time,5.0,4.0,2.2,2.0,1.0,6.3,Walk,2.0,1.0,15.0,0.0,Bachelor,False,32.5,5.0
1350.0,Female,43.0,Married,Mid,4.0,Finance,Full-Time,5.0,5.0,0.6,3.0,2.0,7.6,Motorbike,21.0,7.0,14.0,0.0,Bachelor,False,32.0,5.0
1371.0,Male,25.0,Single,Junior,3.0,Marketing,Full-Time,4.0,5.0,0.9,2.0,1.0,7.5,Car,15.0,1.0,10.0,0.0,Bachelor,False,21.5,5.0
1377.0,Female,22.0,Single,Intern/Fresher,0.0,Operations,Full-Time,4.0,5.0,1.6,1.0,1.0,7.9,Car,21.0,0.0,30.0,0.0,Bachelor,False,10.0,5.0
1419.0,Male,28.0,Married,Mid,5.0,Finance,Part-Time,5.0,5.0,1.7,1.0,3.0,8.0,Walk,2.0,2.0,10.0,0.0,Bachelor,False,32.5,5.0
1461.0,Male,28.0,Married,Junior,6.0,IT,Full-Time,4.0,5.0,2.8,2.0,1.0,6.4,Motorbike,18.0,2.0,9.0,0.0,Bachelor,False,23.0,5.0
1593.0,Male,,Single,Junior,7.0,Marketing,Full-Time,2.0,5.0,1.7,3.0,1.0,9.4,Public Transport,8.0,2.0,5.0,0.0,Bachelor,False,23.5,5.0
1614.0,Male,36.0,Married,Mid,14.0,Operations,Part-Time,4.0,4.0,3.0,2.0,3.0,9.3,Car,21.0,4.0,10.0,0.0,Bachelor,False,37.0,5.0
1642.0,Male,26.0,Single,Junior,3.0,Finance,Full-Time,5.0,2.0,0.9,1.0,1.0,7.1,Public Transport,19.0,1.0,8.0,0.0,Bachelor,False,21.5,5.0
1669.0,Female,26.0,Single,Mid,3.0,IT,Contract,4.0,4.0,2.3,2.0,,7.7,Car,15.0,1.0,14.0,0.0,Bachelor,False,31.5,5.0
1767.0,Female,28.0,Single,Junior,6.0,IT,Part-Time,4.0,4.0,1.5,3.0,1.0,9.7,Car,25.0,2.0,9.0,0.0,Bachelor,False,23.0,5.0
1885.0,Male,47.0,Married,Mid,25.0,Sales,Full-Time,4.0,3.0,1.7,1.0,1.0,7.4,Motorbike,12.0,8.0,14.0,0.0,Bachelor,False,42.5,5.0
1905.0,Male,33.0,Single,Mid,3.0,Finance,Part-Time,5.0,5.0,0.5,3.0,1.0,7.5,Car,22.0,3.0,13.0,0.0,Bachelor,False,31.5,5.0
1921.0,Female,28.0,Single,Junior,6.0,Finance,Contract,5.0,5.0,1.5,1.0,3.0,6.7,Bike,10.0,2.0,7.0,0.0,Bachelor,False,23.0,5.0
1981.0,Female,29.0,Single,Junior,7.0,Finance,Full-Time,4.0,4.0,3.9,1.0,1.0,7.6,Car,18.0,2.0,10.0,0.0,Bachelor,False,23.5,5.0
2021.0,Female,26.0,Married,Junior,2.0,Finance,Full-Time,,4.0,2.2,1.0,1.0,6.6,Public Transport,29.0,1.0,5.0,0.0,Bachelor,False,21.0,5.0
2090.0,Female,35.0,,Senior,13.0,Operations,Full-Time,5.0,3.0,1.0,1.0,1.0,7.1,Public Transport,27.0,4.0,17.0,8.0,Bachelor,False,46.5,5.0
2096.0,Male,25.0,Single,Mid,3.0,Finance,Contract,4.0,3.0,0.3,2.0,1.0,8.8,Public Transport,15.0,1.0,10.0,0.0,Bachelor,False,31.5,5.0
2166.0,Male,33.0,Married,Senior,11.0,Finance,Part-Time,4.0,5.0,2.1,4.0,1.0,8.1,Public Transport,6.0,3.0,17.0,6.0,Bachelor,False,45.5,5.0
2176.0,Male,27.0,Single,Junior,5.0,HR,Full-Time,3.0,5.0,1.9,2.0,1.0,8.2,Public Transport,21.0,1.0,6.0,0.0,Bachelor,False,22.5,5.0
2217.0,Other,29.0,Single,Junior,7.0,Finance,Full-Time,4.0,4.0,3.5,2.0,1.0,9.5,Bike,2.0,2.0,6.0,0.0,Bachelor,False,23.5,5.0
2228.0,Female,26.0,Single,Junior,4.0,Finance,Full-Time,4.0,3.0,3.3,1.0,1.0,8.0,Bike,9.0,1.0,7.0,0.0,Bachelor,False,22.0,5.0
2239.0,Female,27.0,Single,Junior,5.0,Operations,Full-Time,2.0,5.0,2.8,1.0,1.0,8.6,Car,7.0,1.0,7.0,0.0,Bachelor,False,22.5,5.0
2402.0,Female,27.0,Single,Mid,2.0,Finance,Full-Time,5.0,3.0,2.5,4.0,1.0,9.5,Car,20.0,1.0,15.0,0.0,Bachelor,False,31.0,5.0
2768.0,Female,28.0,Single,Junior,6.0,IT,Part-Time,2.0,1.0,0.7,1.0,1.0,7.2,Public Transport,8.0,2.0,8.0,0.0,Bachelor,False,23.0,5.0
2769.0,,38.0,Married,Mid,12.0,Marketing,Full-Time,2.0,1.0,1.4,1.0,1.0,8.4,Public Transport,16.0,5.0,11.0,0.0,Bachelor,False,36.0,5.0
2772.0,Female,28.0,Single,Junior,6.0,Sales,Part-Time,4.0,4.0,2.7,4.0,1.0,6.2,Car,21.0,2.0,9.0,0.0,Bachelor,False,23.0,5.0
2779.0,Female,31.0,Married,Mid,9.0,Finance,Full-Time,2.0,1.0,4.2,1.0,1.0,8.5,Public Transport,25.0,3.0,13.0,0.0,Bachelor,False,34.5,5.0
2786.0,Other,31.0,Single,Senior,9.0,Sales,Part-Time,4.0,4.0,1.7,3.0,1.0,6.9,Public Transport,23.0,3.0,18.0,4.0,Bachelor,False,44.5,5.0
2788.0,Male,47.0,Single,Mid,4.0,Finance,Full-Time,1.0,2.0,2.0,1.0,2.0,6.1,Car,19.0,8.0,11.0,0.0,Bachelor,False,32.0,5.0
2790.0,Male,48.0,Married,Mid,17.0,IT,Full-Time,5.0,3.0,2.5,1.0,1.0,7.3,Motorbike,22.0,8.0,14.0,0.0,Bachelor,True,38.5,5.0
2792.0,Female,39.0,Single,Senior,5.0,Marketing,Full-Time,3.0,2.0,3.0,3.0,2.0,8.2,Bike,6.0,5.0,22.0,8.0,Bachelor,False,42.5,5.0
2795.0,Female,23.0,Single,Intern/Fresher,1.0,Sales,Full-Time,2.0,5.0,3.3,1.0,1.0,6.5,Public Transport,7.0,0.0,28.0,0.0,Bachelor,False,10.5,5.0
