EmpID,Gender,Age,MaritalStatus,JobLevel,Experience,Dept,EmpType,WLB,WorkEnv,PhysicalActivityHours,Workload,Stress,SleepHours,CommuteMode,NumCompanies,TeamSize,NumReports,EduLevel,haveOT,TrainingHoursPerYear,JobSatisfaction,Workload_Stress,Workload_SleepHours,Stress_SleepHours,Workload_Bin,CommuteDistance_Encoded,Workload_Stress_Ratio,Stress_SleepHours_Ratio,Total_Workload,CommuteDistance_-1.362887592126172,CommuteDistance_-1.2440767861843371,CommuteDistance_-1.1252659802425022,CommuteDistance_-1.0064551743006673,CommuteDistance_-0.8876443683588325,CommuteDistance_-0.7688335624169976,CommuteDistance_-0.6500227564751627,CommuteDistance_-0.5312119505333278,CommuteDistance_-0.41240114459149296,CommuteDistance_-0.2935903386496581,CommuteDistance_-0.1747795327078232,CommuteDistance_-0.05596872676598833,CommuteDistance_0.06284207917584655,CommuteDistance_0.18165288511768143,CommuteDistance_0.3004636910595163,CommuteDistance_0.41927449700135117,CommuteDistance_0.538085302943186,CommuteDistance_0.6568961088850209,CommuteDistance_0.7757069148268558,CommuteDistance_0.8945177207686907,CommuteDistance_1.0133285267105256,CommuteDistance_1.1321393326523606,CommuteDistance_1.2509501385941952,CommuteDistance_1.3697609445360301,CommuteDistance_1.488571750477865,CommuteDistance_1.6073825564197,CommuteDistance_1.7261933623615349,CommuteDistance_1.8450041683033698
6.0,Male,32.0,Married,Mid,7.0,IT,Full-Time,1.0,1.0,2.5,-0.6899947466654884,-0.6929008635525359,0.5909557770091857,Car,3.0,12.0,0.0,Bachelor,True,33.5,5.0,2.0,15.2,7.6,Very Low,0.028429752066115702,0.995805870588266,-1.1725088227189915,-0.7919398332088387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.0,Female,34.0,Married,Mid,12.0,Finance,Full-Time,2.0,1.0,1.8,-0.6899947466654884,0.2470207114458593,0.8901926744736642,Car,4.0,11.0,0.0,Bachelor,False,36.0,5.0,4.0,15.8,15.8,Very Low,0.02809917355371901,-2.7932667663110147,0.27749128728162314,0.4472186392540351,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,Female,23.0,Single,Intern/Fresher,1.0,Marketing,Full-Time,2.0,4.0,2.1,1.4536897196095226,2.12686386144265,-0.5062461803605663,Motorbike,0.0,30.0,0.0,Bachelor,True,10.5,5.0,20.0,32.5,26.0,Very Low,0.033388429752066115,0.6834897829050499,-4.201244272359876,3.0743074006916062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20.0,Female,29.0,Married,Junior,6.0,IT,Contract,2.0,2.0,1.9,0.024566742092848568,-0.6929008635525359,0.4912101445210267,Public Transport,2.0,9.0,0.0,Bachelor,True,23.0,5.0,3.0,22.5,7.5,Very Low,0.03371900826446281,-0.03545491630988684,-1.4105996585587128,-0.1771239769386606,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,Other,23.0,Single,Junior,1.0,Sales,Part-Time,3.0,1.0,3.7,-0.6899947466654884,-0.6929008635525359,-2.1021763001711147,Car,0.0,7.0,0.0,Bachelor,False,20.5,5.0,2.0,9.8,4.9,Very Low,0.028429752066115702,0.995805870588266,0.3296112052189656,-3.4850719103891388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45.0,Female,33.0,Married,Mid,10.0,Operations,Part-Time,2.0,3.0,1.4,0.7391282308511856,0.2470207114458593,-0.805483077825044,Car,3.0,13.0,0.0,Bachelor,False,35.0,5.0,8.0,24.8,12.4,Very Low,0.04661157024793389,2.9921710755861572,-0.3066739929776498,0.18066586447200084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,Female,26.0,Single,Junior,4.0,Sales,Full-Time,2.0,2.0,1.8,-1.4045562354238255,-0.6929008635525359,-1.2044656077776816,Car,1.0,8.0,0.0,Bachelor,True,22.0,5.0,1.0,5.8,5.8,Very Low,0.02809917355371901,2.0270666574864187,0.5752765871050982,-3.301922706754043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44.0,Male,24.0,Single,Junior,2.0,IT,Full-Time,1.0,3.0,1.8,0.7391282308511856,0.2470207114458593,-1.3042112402658406,Car,0.0,10.0,0.0,Bachelor,True,21.0,5.0,8.0,22.8,11.4,Very Low,0.02809917355371901,2.9921710755861572,-0.18940237900795184,-0.3180622979687957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.0,Female,29.0,Married,Junior,7.0,Marketing,Full-Time,4.0,3.0,1.6,-1.4045562354238255,-0.6929008635525359,1.1894295719381411,Car,2.0,8.0,0.0,Bachelor,False,23.5,5.0,1.0,8.2,8.2,Very Low,0.03371900826446281,2.0270666574864187,-0.5825488783172971,-0.9080275270382201,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,Female,24.0,Single,Mid,2.0,Marketing,Part-Time,5.0,5.0,0.5,0.7391282308511856,0.2470207114458593,1.4886664694026197,Bike,0.0,10.0,0.0,Bachelor,False,31.0,5.0,8.0,34.0,17.0,Very Low,0.0456198347107438,2.9921710755861572,0.1659342212356344,2.4748154116996646,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
