EmpID,Age,Experience,WLB,WorkEnv,PhysicalActivityHours,Workload,Stress,SleepHours,CommuteDistance,NumCompanies,TeamSize,NumReports,EduLevel,haveOT,TrainingHoursPerYear,JobSatisfaction,Gender_Male,Gender_Other,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,JobLevel_Junior,JobLevel_Lead,JobLevel_Mid,JobLevel_Senior,Dept_Finance,Dept_HR,Dept_IT,Dept_Legal,Dept_Marketing,Dept_Operations,Dept_Sales,EmpType_Full-Time,EmpType_Part-Time,CommuteMode_Car,CommuteMode_Motorbike,CommuteMode_Public Transport,CommuteMode_Walk,Workload_Stress,Workload_SleepHours,Stress_SleepHours,PC1,PC2,PC3,PC4
6.0,32.0,7.0,1.0,1.0,2.5,2.0,1.0,7.6,20.0,3.0,12.0,0.0,Bachelor,True,33.5,5.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2.0,15.2,7.6,-1.3710827591228971,0.06543560244683012,-1.0161187666778657,0.3591517984237965
11.0,34.0,12.0,2.0,1.0,1.8,2.0,2.0,7.9,15.0,4.0,11.0,0.0,Bachelor,False,36.0,5.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4.0,15.8,15.8,-0.13762917759519094,0.878527859262194,-1.0013024023218249,-0.2965553991490144
33.0,23.0,1.0,2.0,4.0,2.1,5.0,4.0,6.5,17.0,0.0,30.0,0.0,Bachelor,True,10.5,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,20.0,32.5,26.0,4.573969851441342,0.38140423264454854,0.9133784333428544,0.9459231168525215
20.0,29.0,6.0,2.0,2.0,1.9,3.0,1.0,7.5,13.0,2.0,9.0,0.0,Bachelor,True,23.0,5.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0,22.5,7.5,-0.7472304557279911,-0.7182901340509781,-0.45927126689702197,-0.2871621080627512
28.0,23.0,1.0,3.0,1.0,3.7,2.0,1.0,4.9,20.0,0.0,7.0,0.0,Bachelor,False,20.5,5.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,9.8,4.9,-2.0382917567665446,0.4294654730223731,1.3540743035709895,1.5174772250304842
45.0,33.0,10.0,2.0,3.0,1.4,4.0,2.0,6.2,8.0,3.0,13.0,0.0,Bachelor,False,35.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,8.0,24.8,12.4,0.8019359805793597,-0.42546529331239036,1.190977821467305,-0.1313094183798649
21.0,26.0,4.0,2.0,2.0,1.8,1.0,1.0,5.8,29.0,1.0,8.0,0.0,Bachelor,True,22.0,5.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,5.8,5.8,-2.405689575990034,1.016048705764215,-0.023654883217378297,2.027502505040316
44.0,24.0,2.0,1.0,3.0,1.8,4.0,2.0,5.7,29.0,0.0,10.0,0.0,Bachelor,True,21.0,5.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8.0,22.8,11.4,0.6016040935803555,-0.3171403491739871,0.5451594528970044,2.32979317708994
7.0,29.0,7.0,4.0,3.0,1.6,1.0,1.0,8.2,13.0,2.0,8.0,0.0,Bachelor,False,23.5,5.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1.0,8.2,8.2,-1.888256512028026,0.8093787257950052,-1.2721746003380492,-0.698929027960264
15.0,24.0,2.0,5.0,5.0,0.5,4.0,2.0,8.5,9.0,0.0,10.0,0.0,Bachelor,False,31.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.0,34.0,17.0,1.6692584558949837,-0.8561123129208896,-0.9557051665522065,-1.0476557739300114
